giros/vez;qntd_inteira;giros_resto;prob
1;72;0;76,65%
2;36;0;76,77%
3;24;0;76,88%
4;18;0;77,00%
5;14;2;77,10%
6;12;0;77,23%
7;10;2;77,33%
8;9;0;77,46%
10;8;0;81,13%
11;7;2;80,82%
12;6;6;80,50%
13;6;0;80,67%
14;5;7;80,30%
15;5;2;80,45%
16;4;12;80,11%
17;4;8;80,20%
18;4;4;80,34%
20;4;0;82,27%
21;3;15;81,47%
22;3;12;81,54%
23;3;9;81,66%
24;3;6;81,81%
25;3;3;81,99%
26;3;0;82,20%
27;2;22;81,34%
28;2;20;81,39%
30;2;18;82,36%
31;2;16;82,46%
32;2;14;82,57%
33;2;12;82,69%
34;2;10;82,84%
35;2;8;83,00%
36;2;6;83,18%
37;2;4;83,38%
38;2;2;83,59%
40;2;0;84,67%
41;1;35;82,95%
42;1;34;82,97%
43;1;33;83,01%
44;1;32;83,06%
45;1;31;83,11%
46;1;30;83,17%
47;1;29;83,24%
48;1;28;83,32%
50;1;27;83,90%
51;1;26;84,00%
52;1;25;84,10%
53;1;24;84,21%
54;1;23;84,33%
55;1;22;84,45%
56;1;21;84,59%
57;1;20;84,73%
58;1;19;84,87%
60;1;18;85,52%
61;1;17;85,68%
62;1;16;85,84%
63;1;15;86,02%
64;1;14;86,19%
65;1;13;86,38%
66;1;12;86,57%
67;1;11;86,76%
68;1;10;86,96%
70;1;9;87,64%
71;1;8;87,84%
72;1;7;88,06%
73;1;6;88,27%
74;1;5;88,49%
75;1;4;88,71%
76;1;3;88,94%
77;1;2;89,17%
78;1;1;89,40%
80;1;0;90,07%
